,Gas Peak Obserbation of Drilling Well,,,,,,,,,,,,
,Depth,Total Gas,C1,C2,C 3,iC4,nC4,iC5,nC5,Gas,,,
,(m),(ppm),(ppm),(ppm),(ppm),(ppm),(ppm),(ppm),(ppm),Type,,,
,SANU,,,,,,,,,,,,
,2121,4584,1537,19,0,1,0,0,0,FG,,,
,2122,6027,2710,32,1,1,0,0,0,FG,,,
,2124,4714,1500,19,0,1,0,0,0,FG,,,
,2160,9635,2063,25,0,1,0,0,1,FG,,,
,2161,10813,3303,38,1,1,0,0,0,FG,,,
,2162,11515,4109,46,19,1,0,0,0,FG,,,
,2163,11470,4125,45,19,1,0,0,0,FG,,,
,2164,11245,4112,45,19,1,0,0,0,FG,,,
,2165,11576,4433,48,22,1,0,0,0,FG,,,
,2166,11206,4047,44,20,1,0,0,0,FG,,,
,2170,9834,1720,23,0,1,0,0,0,FG,,,
,2183,7735,1789,22,0,1,0,1,0,FG,,,
,2189,9041,2386,31,1,2,0,1,0,FG,,,
,2190,7956,1731,23,0,2,0,0,1,FG,,,
,2196,8712,2792,32,1,2,0,0,1,FG,,,
,2197,8646,2737,31,1,2,0,1,1,FG,,,
,2198,8224,1798,21,0,2,0,1,1,FG,,,
,PARH,,,,,,,,,,,,
,2267,1765,33,2,0,2,0,0,1,FG,,,
,2292,875,31,5,0,2,0,1,1,FG,,,
,2302,1378,57,9,0,4,1,2,2,FG,,,
,2306,1397,32,5,0,3,0,0,2,FG,,,
,2308,1392,30,6,0,3,0,0,1,FG,,,
,2310,1157,33,6,0,3,0,1,1,FG,,,
,2311,1134,45,7,0,3,0,1,1,FG,,,
,2313,1056,41,6,0,3,1,1,1,FG,,,
,2314,1081,42,7,0,3,1,1,1,FG,,,
,2315,1084,43,7,0,3,1,0,1,FG,,,
,2316,1057,42,7,0,3,1,1,1,FG,,,
,2317,848,37,7,0,3,1,1,1,FG,,,
,2318,923,46,7,0,3,1,0,1,FG,,,
,2319,933,42,7,0,3,1,0,1,FG,,,
,2320,1016,37,7,0,3,1,1,1,FG,,,
,2321,1117,41,8,0,4,1,1,1,FG,,,
,2322,1074,32,6,0,3,0,1,1,FG,,,
,2323,1151,32,6,0,3,1,0,1,FG,,,
,2324,1151,31,5,0,3,0,0,1,FG,,,
,2325,1176,32,6,0,3,0,0,1,FG,,,
,2336,1224,58,10,0,4,1,0,1,FG,,,
,2339,1342,46,0,0,3,1,0,1,FG,,,
,2340,1494,80,11,0,5,1,1,1,FG,,,
,2342,1368,53,0,0,4,1,1,1,FG,,,
